Company	WC/TA	RE/TA	EBIT/TA	S/TA	BVE/BVL	target
0	9.3	-7.7	1.6	9.1	3.7260000000000004	1
2	42.6	-60.1	-10.1	0.3	4.13	1
6	-28.8	-203.2	-51.0	14.7	0.111	1
7	2.5	-433.1	-6.0	29.3	1.949	1
14	26.1	-57.4	-23.5	54.2	0.855	1
15	39.2	-111.8	-77.8	10.5	0.168	1
48	-5.4	-105.2	-5.8	38.9	0.027999999999999997	1
49	-35.2	-92.4	-32.5	48.5	11.28	1
18	10.5	-12.4	-2.3	21.0	2.5	1
21	-22.4	-124.5	-7.9	125.6	1.595	1
23	24.6	-29.0	-2.0	21.3	1.9680000000000002	1
19	6.6	-50.9	-2.6	28.9	0.258	1
26	33.9	-46.5	-17.5	0.9	0.828	1
27	19.1	-66.3	-25.5	22.3	0.46	1
28	-21.1	-46.0	-26.8	81.4	0.698	1
30	2.5	-228.7	-6.7	38.6	0.03	1
34	47.0	-78.2	-42.0	4.4	0.168	1
33	9.1	-40.2	-0.7	81.5	0.522	1
36	43.0	-49.2	-87.4	119.9	2.9189999999999996	1
37	-34.9	-79.0	-13.5	127.8	0.19699999999999998	1
39	20.6	-146.3	-36.0	12.6	0.075	1
42	-51.6	-326.1	-98.7	0.9	2.4019999999999997	1
44	-93.0	-95.2	-7.3	34.8	0.071	1
45	-127.5	-121.3	6.4	65.7	0.248	1
47	-1.2	-47.5	-9.7	14.5	0.456	1
3	30.6	-14.4	-4.9	2.2	3.4819999999999998	0
4	9.8	-33.8	-7.1	3.2	5.965	0
5	37.8	-45.4	-7.1	17.1	3.45	0
1	2.2	31.6	22.0	58.0	2.758	0
8	-11.5	27.6	24.4	51.4	2.266	0
9	-4.1	-5.8	7.7	31.6	1.222	0
10	-5.7	21.1	14.3	28.9	1.153	0
11	25.2	0.0	7.9	25.9	0.7170000000000001	0
12	-5.7	0.0	16.3	49.9	1.517	0
13	1.7	11.4	14.1	48.0	1.347	0
16	13.8	-37.6	-13.0	32.3	13.767999999999999	0
17	8.2	-15.6	0.3	87.7	5.444	0
20	74.7	54.6	27.9	74.6	3.72	0
22	43.1	-0.4	3.4	40.0	0.925	0
24	48.7	38.4	-9.2	65.4	0.705	0
25	40.7	0.6	1.8	49.2	7.497000000000001	0
29	20.3	-61.3	1.9	27.0	35.178000000000004	0
31	16.1	3.6	11.6	21.4	0.856	0
32	-6.1	0.0	9.4	22.6	2.123	0
35	-7.2	18.6	20.8	52.2	2.4130000000000003	0
38	-5.3	31.0	4.9	26.9	1.3619999999999999	0
40	4.1	-10.1	9.7	36.0	7.6229999999999976	0
41	0.3	27.9	16.1	49.5	4.357	0
43	-7.4	8.9	15.3	39.3	1.273	0
46	1.1	-39.5	15.7	41.8	1.449	0
